horse,horseLabel,mother,father,birthyear,genderLabel
Q11312367,State Jaguar,missing,Q11305596,1981,male organism
Q11312503,Strong Eight,missing,Q6072645,1969,male organism
Q11312505,ストロングガルーダ,missing,Q5215257,2006,male organism
Q11312509,ストロングブラッド,missing,Q11321082,1999,male organism
Q11312511,ストロングリターン,missing,Q7661156,2006,male organism
Q11312524,ストーミーカフェ,missing,Q17221619,2002,missing
Q11312541,ストーンステッパー,missing,missing,1993,male organism
Q11312651,スパイキュール,missing,Q180387,2000,male organism
Q11312797,Speed Symboli,missing,missing,1963,male organism
Q11312816,スピードワールド,missing,Q8033082,1994,male organism
Q11312860,Spring Ghent,missing,Q7096598,2000,male organism
Q11312922,スペクテイター,missing,missing,missing,male organism
Q11312940,Special,missing,Q11332888,1969,female organism
Q11312941,Special Week,missing,Q180387,1995,male organism
Q11313235,スマイルジャック,missing,Q11316237,2005,male organism
Q11313240,スマイルトゥモロー,missing,missing,1999,female organism
Q11313273,Smadoun,missing,missing,1990,male organism
Q11313274,スマノダイドウ,missing,missing,1970,male organism
Q11313287,スマートファルコン,missing,Q11303924,2005,male organism
Q11313288,スマートボーイ,missing,Q11283161,1995,male organism
Q11313293,スマートロビン,missing,Q730381,2008,male organism
Q11313394,Sri Pekan,missing,Q7304776,1992,male organism
Q11313404,スリリングサンデー,Q11311361,Q180387,1996,male organism
Q11313407,スリルショー,missing,missing,1983,male organism
Q11313423,スリーオペレーター,missing,Q7096598,2003,male organism
Q11313429,スリーコース,missing,Q11297865,1991,female organism
Q11313432,スリージャイアンツ,missing,missing,1975,male organism
Q11313448,スリープレスナイト,missing,Q11299831,2004,female organism
Q11313457,スリーロールス,missing,Q5215257,2006,male organism
Q11313465,スルガスンプジョウ,missing,missing,1971,male organism
Q11313496,スルーオダイナ,missing,Q7059024,1984,male organism
Q11313572,Swanswood Grove,missing,Q11300706,1960,female organism
Q11313628,Suni,missing,missing,2006,male organism
Q11313675,スーパーオトメ,missing,missing,1993,female organism
Q11313702,Super Creek,missing,Q11325831,1985,male organism
Q11313719,スーパーシンザン,missing,Q7497845,1987,male organism
Q11313799,スーパーハリケーン,missing,Q11345211,2002,male organism
Q11313854,スーパーペガサス,missing,missing,1996,male organism
Q11313857,Super Hornet,missing,Q7357442,2003,male organism
Q11314113,Seiun Wonder,missing,Q11300176,2006,male organism
Q11314114,セイウンスカイ,missing,Q11306984,1995,male organism
Q11314122,セイクリムズン,missing,Q11289550,2006,male organism
Q11314150,セイユウ,missing,Q11346360,1954,male organism
Q11314179,セカイオー,missing,Q17361614,1952,male organism
Q11314216,セガンヂャ,missing,missing,1996,missing
Q11314231,セキテイリュウオー,missing,Q11321101,1989,male organism
Q11314327,Sedan,missing,missing,1955,male organism
Q11314399,Theft,missing,Q7706757,1932,male organism
Q11314492,セラフィックロンプ,missing,Q11341616,2004,female organism
Q11314519,セリーセクレタリー,missing,Q7283646,1994,male organism
Q11314628,Celestial Storm,missing,Q7351567,1983,male organism
Q11314659,セレン,missing,Q11341810,2005,male organism
Q11314717,Sendawar,missing,Q7245356,1996,male organism
Q11314763,Saint Crespin,missing,Q4822299,1956,male organism
Q11314768,St.Steven,missing,missing,1994,missing
Q11314856,Sageburg,missing,Q6217141,2004,male organism
Q11314922,Zeddaan,missing,Q11300706,1965,male organism
Q11314942,Generalist,missing,Q1005468,1993,male organism
Q11315049,Zenno El Cid,missing,Q2932844,1997,male organism
Q11315060,ゼーアドラー,missing,missing,1936,male organism
Q11315124,Social Butterfly,missing,Q8058830,1957,female organism
Q11315384,Solitary King,Q11311363,Q11297858,2007,male organism
Q11315435,Solonaway,missing,missing,1946,male organism
Q11315452,Song of Wind,missing,Q5351060,2003,male organism
Q11315477,Soviet Star,missing,Q3346473,1984,male organism
Q11315479,ソヴリンパス,missing,Q11300706,1956,male organism
Q11315674,タイキシャーロック,missing,Q11309134,1992,male organism
Q11315675,タイキトレジャー,missing,Q11164164,1996,male organism
Q11315676,タイキバカラ,missing,Q7569964,2001,male organism
Q11315677,タイキファイヤー,Q11288587,Q11164164,1997,male organism
Q11315678,タイキフォーチュン,missing,Q7442093,1993,male organism
Q11315679,タイキブリザード,missing,Q1457136,1991,male organism
Q11315693,タイセイアトム,missing,Q11304520,2003,male organism
Q11315694,タイセイブレーヴ,missing,Q11304520,2001,male organism
Q11315696,タイセイレジェンド,missing,Q11297858,2007,male organism
Q11315708,Tai Tehm,missing,Q11314763,1969,male organism
Q11315712,Tight Spot,missing,Q11330029,1987,male organism
Q11315776,タイムパラドックス,missing,Q4962908,1998,male organism
Q11315783,タイムライン,missing,Q11316007,1969,male organism
Q11315809,タイヨウ,missing,Q11301477,1963,male organism
Q11315901,タカイホーマ,missing,missing,1969,female organism
Q11315902,タカエノカオリ,missing,Q11352175,1971,female organism
Q11315904,タカオー,missing,Q11308902,1951,male organism
Q11315964,タカマガハラ,missing,Q11299394,1957,male organism
Q11315980,タカラコスモス,missing,Q11304507,1984,female organism
Q11315983,タカラスチール,missing,Q11312238,1982,female organism
Q11316005,タガノテイオー,missing,Q180387,1998,male organism
Q11316006,タガノマイバッハ,missing,Q5215257,1999,male organism
Q11316007,タガミホマレ,missing,missing,1962,male organism
Q11316062,タケシバオー,missing,Q11318040,1965,male organism
Q11316070,タケデンバード,missing,missing,1969,male organism
Q11316072,タケノベルベット,missing,missing,1989,female organism
Q11316073,タケノハナミ,missing,missing,1982,female organism
Q11316076,タケフブキ,missing,Q11329825,1969,female organism
Q11316079,タケホープ,missing,missing,1970,male organism
Q11316080,タケミカヅチ,missing,Q11303924,2005,male organism
Q11316104,タスカータソルテ,missing,Q11310148,2004,male organism
Q11316129,タチカゼ,missing,Q11335651,1946,male organism
Q11316184,Tap Dance City,missing,Q7203981,1997,male organism
Q11316237,Tanino Gimlet,missing,Q4962908,1999,male organism
Q11316239,タニノチカラ,missing,missing,1969,male organism
Q11316240,タニノムーティエ,missing,Q11343230,1967,male organism
Q11316241,タニノハローモア,missing,Q17224513,1965,male organism
Q11316309,タマツバキ,missing,Q18236560,1945,male organism
Q11316317,タマミ,missing,missing,1967,female organism
Q11316318,タマモイナズマ,missing,Q11316319,1994,male organism
Q11316319,Tamamo Cross,Q11300536,Q11308880,1984,male organism
Q11316320,Tamamo Strong,Q11305864,Q11311410,1995,male organism
Q11316321,Tamamo Support,missing,Q11316319,2003,missing
Q11316322,タマモホットプレイ,missing,Q11333106,2001,male organism
Q11316323,Tamayuz,missing,Q6983136,2005,male organism
Q11316349,タムロチェリー,missing,Q7444446,1999,female organism
Q11316382,タヤスツヨシ,missing,Q180387,1992,male organism
Q11316436,タレンティドガール,missing,Q11348445,1984,female organism
Q11316505,タンディチェイル,missing,Q11347088,1992,female organism
Q11316557,ターター,missing,missing,missing,male organism
Q11316614,ダイアナソロン,missing,Q11329825,1981,female organism
Q11316636,Daiichi Ruby,Q11326269,Q11321101,1987,female organism
Q11316729,Diolite,missing,missing,1927,male organism
Q11316764,ダイゴホマレ,missing,Q11342345,1955,male organism
Q11316765,ダイゴトツゲキ,missing,missing,1982,male organism
Q11316775,ダイシンオレンジ,missing,Q11283071,2005,male organism
Q11316776,ダイシンフブキ,missing,Q11323415,1983,male organism
Q11316777,ダイシンボルガード,missing,missing,1966,male organism
Q11316795,ダイタクバートラム,missing,Q5215257,1998,male organism
Q11316796,Daitaku Helios,missing,Q11330652,1987,male organism
Q11316798,Daitaku Yamato,missing,Q11316796,1994,male organism
Q11316799,Daitaku Riva,missing,Q11333106,1997,male organism
Q11316818,ダイナアクトレス,missing,Q7059024,1983,female organism
Q11316819,Dyna Carle,missing,Q7059024,1980,female organism
Q11316820,Dyna Gulliver,missing,Q7059024,1983,male organism
Q11316821,ダイナコスモス,missing,missing,1983,male organism
Q11316824,ダイナサンキュー,missing,Q7059024,1984,male organism
Q11316831,Dyna Shoot,missing,Q7059024,1982,female organism
Q11316839,ダイナナホウシユウ,missing,missing,1951,male organism
Q11316840,Dyna Fairy,missing,Q7059024,1983,female organism
Q11316850,ダイナマイトダディ,missing,Q11304531,1988,male organism
Q11316887,ダイナレター,missing,Q7059024,1984,male organism
Q11316895,ダイニホウシユウ,missing,Q11298824,1948,male organism
Q11316963,ダイメイゴッツ,missing,missing,1990,male organism
Q11316983,ダイヤモンドウェッディング,missing,missing,1905,male organism
Q11317002,ダイヤモンドビコー,missing,Q180387,1998,female organism
Q11317028,ダイユウサク,missing,Q1042741,1985,male organism
Q11317053,ダイワエルシエーロ,Q11350837,Q180387,2001,female organism
Q11317054,Daiwa Caerleon,Q11309244,Q2932844,1993,male organism
Q11317057,ダイワテキサス,missing,missing,1993,male organism
Q11317065,Daiwa Major,Q11311361,Q180387,2001,male organism
Q11317066,ダイワルージュ,Q11311361,Q180387,1998,female organism
Q11317069,ダイワワイルドボア,missing,Q4693122,2005,male organism
Q11317144,ダスゲニー,missing,missing,1980,female organism
